accession,description,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,pval,fdr_bh,xl_id,xl_id_source,xenla_xen_base_gene_names,xenla_gen_bank_description,human_uni_prot_id,human_gene_names_primary,human_gene_names_synonyms,egg_nog_annotation
ENOG411CRHM,ENOG411CRHM,66,66,403,552453926.180665,12056763522.29736,6304608724.239012,21.824016358523487,4.447844725756507,30,373,10.342473484765193,3.3705093537950215,16.224938820622388,1.6802613080078644e-59,3.311795038083501e-56,"1199644, 148224437, 171847162, 32822903, 62533184, 83405221, Xelaev18016936m.g","GenBank, Xenbase_9.1",ctnna1.L,"alpha(E)-catenin [Xenopus laevis], catenin alpha-2 [Xenopus laevis], Catna1 protein [Xenopus laevis], NA","P35221, P26232, Q9UI47","CTNNA1, CTNNA2, CTNNA3",CAPR,"Catenin (Cadherin-associated protein), alpha"
ENOG411D10F,ENOG411D10F,36,40,301,342113882.883789,9240712981.50586,4791413432.194824,27.010634305784055,4.755455614744015,40,261,5.4781250582537435,2.453682201213627,11.888318037086405,6.806008898435945e-33,6.707321769408623e-30,"117608, 118764077, 148225136, 148231075",GenBank,NA,"RecName: Full=Catenin beta; AltName: Full=Beta-catenin, Ctnnb1 protein [Xenopus laevis], catenin beta [Xenopus laevis], catenin (cadherin-associated protein), beta 1, 88kDa [Xenopus laevis]",P35222,CTNNB1,CTNNB,Armadillo/beta-catenin-like repeat
ENOG411CPTV,ENOG411CPTV,39,39,181,202305422.5419922,5645238114.5859375,2923771768.563965,27.9045318887296,4.802427539610223,10,171,13.404489212631988,3.7446443403590606,11.400280070902838,2.0838806772345086e-30,1.3691096049430722e-27,"1090506, 13432108, 13432110, 148231045, 148236899, 1705540, 20664275, 3150273, 455530, 46250230, 609637, 64567, Xelaev18022637m.g, Xelaev18004718m.g, Xelaev18024918m.g, Xelaev18022638m.g","GenBank, Xenbase_9.1","cdh1.L, loc100490079.L, cdh1.S, cdh3.L","cadherin, RecName: Full=EP-cadherin; AltName: Full=C-cadherin; Flags: Precursor, RecName: Full=Blastomere cadherin; Short=B-cadherin; AltName: Full=XBcad; Flags: Precursor, blastomere cadherin [Xenopus laevis], EP-cadherin [Xenopus laevis], RecName: Full=Cadherin-1; AltName: Full=Epithelial cadherin; Short=E-cadherin; AltName: Full=Uvomorulin; AltName: Full=xTCAD-1; Flags: Precursor, Chain A, C-Cadherin Ectodomain, C-cadherin [Xenopus laevis], E-cadherin [Xenopus laevis], Xb-cad protein [Xenopus laevis], cadherin [Xenopus laevis], NA","P12830, P22223","CDH1, CDH3","CDHE UVO, CDHP",Cadherins are calcium dependent cell adhesion proteins (By similarity)
ENOG411CRKW,ENOG411CRKW,31,31,80,31809272.90625,162828780.78125,97319026.84375,5.118909233202147,2.3558364251669373,10,70,5.533248454051577,2.468126705161645,6.268737366553201,1.8199372228458632e-10,8.967740665572991e-8,"12025476, 147905646, 148228344, 213626677, 27447665, 47937568, Xelaev18010553m.g, Xelaev18010552m.g, Xelaev18035073m.g, Xelaev18007708m.g, Xelaev18037256m.g","GenBank, Xenbase_9.1","Xelaev18010553m.g, arvcf.S, ctnnd1.L, arvcf.L, ctnnd1.S","p120 [Xenopus laevis], armadillo repeat gene deletes in velo-cardio-facial syndrome [Xenopus laevis], catenin delta-1 [Xenopus laevis], Arvcf protein [Xenopus laevis], p120 isoform 2 [Xenopus laevis], NA","O60716, O00192","CTNND1, ARVCF","KIAA0384, NA","Catenin (Cadherin-associated protein), delta 1"
ENOG411CTF4,ENOG411CTF4,30,34,171,687091408.079102,2612257430.766599,1649674419.4228506,3.8019067041890016,1.9267231298151586,40,131,2.759971403395016,1.46465331903463,6.186805807603446,3.0697759826681427e-10,1.2101056923677818e-7,"148225927, 148229117, 28302315, 65253, Xelaev18045870m.g","GenBank, Xenbase_9.1",jup.S,"junction plakoglobin [Xenopus laevis], LOC398496 protein [Xenopus laevis], X-plakoglobin [Xenopus laevis], NA",P14923,JUP,CTNNG DP3,"Catenin (Cadherin-associated protein), beta 1, 88kDa"
ENOG411CQ8S,ENOG411CQ8S,9,9,16,16520484.84375,77219688.125,46870086.484375,4.674178079840896,2.224712699890791,0,16,14.573485364896408,3.8652740455445995,3.848688557656922,5.937593559543975e-5,0.019504994843101957,"147901558, 147901815, Xelaev18018502m.g","GenBank, Xenbase_9.1",erlin2.L,"erlin-2-A precursor [Xenopus laevis], erlin-2-B precursor [Xenopus laevis], NA","O94905, O75477","ERLIN2, ERLIN1","C8orf2 SPFH2, C10orf69 KE04 KEO4 SPFH1",ER lipid raft associated
ENOG411CVD6,ENOG411CVD6,34,34,80,58835175.46289063,122449779.0390625,90642477.25097656,2.081234194946793,1.057439316287942,22,58,2.1990681241148033,1.1368922975990885,3.4602602671347165,2.698267579936423e-4,0.07597550571506699,"117667435, 124481743, 148223878, 148225656, 169642445, 210063369, 210063371, 213626935, 34785893, 38014765, 49117916, 50924726, 54261627, Xelaev18047510m.g, Xelaev18025550m.g, Xelaev18037682m.g, Xelaev18044210m.g, Xelaev18035902m.g, Xelaev18046824m.g, Xelaev18045183m.g","GenBank, Xenbase_9.1","myh11.S, myh9.S, myh14.S, myh10.L, myh14.L, myh10.S, myh11.L","myosin-2a [Xenopus laevis], Unknown (protein for IMAGE:4175361) [Xenopus laevis], myosin, heavy chain 10, non-muscle [Xenopus laevis], myosin, heavy chain 9, non-muscle [Xenopus laevis], LOC495286 protein [Xenopus laevis], smooth muscle myosin heavy chain isoform SM1 [Xenopus laevis], smooth muscle myosin heavy chain isoform SM2 [Xenopus laevis], LOC398083 protein [Xenopus laevis], LOC398719 protein [Xenopus laevis], LOC443585 protein [Xenopus laevis], Unknown (protein for IMAGE:5515537) [Xenopus laevis], NA","P35580, P35579, P35749","MYH10, MYH9, MYH11",KIAA0866,"myosin, heavy chain"
ENOG411CURI,ENOG411CURI,10,10,30,16073677.59375,42560763.421875,29317220.5078125,2.6478547409974236,1.4048239793238249,6,24,3.061656589263951,1.6143124720113806,2.9780183033169703,0.0014505932948511006,0.3573899230189399,"147899432, 190610686, Xelaev18023767m.g, Xelaev18041746m.g, Xelaev18003550m.g, Xelaev18014870m.g, Xelaev18021245m.g, Xelaev18025751m.g","GenBank, Xenbase_9.1","atp2b2-like.L, atp2b3.S, atp2b3.L, atp2b4-like.S, atp2b1.S, atp2b2-like.S","plasma membrane calcium ATPase 3 [Xenopus laevis], plasma membrane calcium ATPase 1b [Xenopus laevis], NA","Q01814, P20020, Q16720, P23634","ATP2B2, ATP2B1, ATP2B3, ATP2B4","PMCA2, PMCA1, ATP2B2 MXRA1","ATPase, Ca transporting, plasma membrane"
ENOG411CWPF,ENOG411CWPF,6,6,9,5402202.15625,24070056.90625,14736129.53125,4.455600921635725,2.1556200194462227,0,9,8.572638449939063,3.099739299181622,2.886398888047069,0.001948389673168421,0.4266973384238842,"148227480, 148228392, 28278283, Xelaev18028769m.g, Xelaev18026124m.g","GenBank, Xenbase_9.1","epcam.S, epcam.L","epithelial cell adhesion molecule precursor [Xenopus laevis], epithelial cell adhesion molecule [Xenopus laevis], MGC54031 protein [Xenopus laevis], NA","P16422, P09758","EPCAM, TACSTD2","GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1, GA733-1 M1S1 TROP2",Epithelial cell adhesion molecule
ENOG411CZFK,ENOG411CZFK,21,21,66,60685579.49414063,142822827.609375,101754203.55175781,2.3534887332362864,1.2348009464866765,20,46,1.918638129272076,0.940082633193137,2.666032002329031,0.00383761931686564,0.645483872385053,"Xelaev18041192m.g, Xelaev18039698m.g",Xenbase_9.1,"dync1h1.S, dync1h1.L",NA,Q14204,DYNC1H1,DHC1 DNCH1 DNCL DNECL DYHC KIAA0325,"dynein, cytoplasmic 1, heavy chain 1"
ENOG411CX51,ENOG411CX51,5,5,15,8798449.328125,13020242.22265625,10909345.775390625,1.479833745366462,0.5654351027405188,2,13,4.000564609971563,2.000203625630708,2.6458804579068294,0.0040739302288441805,0.645483872385053,"147907126, Xelaev18047192m.g, Xelaev18044727m.g","GenBank, Xenbase_9.1","agps.S, agps.L","alkyldihydroxyacetonephosphate synthase, peroxisomal [Xenopus laevis], NA",O00116,AGPS,NA,alkylglycerone phosphate synthase
ENOG411CSV8,ENOG411CSV8,8,8,27,35225699.625,83426168,59325933.8125,2.3683324643122683,1.243871619373524,6,21,2.694257798552277,1.4298879008739531,2.583506235781001,0.004890084955019772,0.645483872385053,"148225532, 148232361, Xelaev18012626m.g, Xelaev18004060m.g, Xelaev18033719m.g","GenBank, Xenbase_9.1","lypla2.L, lypla2.S, lypla1.S","lysophospholipase II [Xenopus laevis], lysophospholipase I [Xenopus laevis], NA","O75608, O95372","LYPLA1, LYPLA2","APT1 LPL1, APT2",lysophospholipase
ENOG411CST5,ENOG411CST5,4,4,7,6072040.0625,12806341.375,9439190.71875,2.1090673386840817,1.0766051584956013,0,7,6.858110759951251,2.77781120429426,2.545534934935114,0.005455522271334082,0.645483872385053,"126031063, 148234793, Xelaev18011185m.g","GenBank, Xenbase_9.1",vps28.L,"Chain A, Structural Insight Into The Escrt-I-Ii Link And Its Role In Mvb Trafficking, vacuolar protein sorting 28 homolog [Xenopus laevis], NA",Q9UK41,VPS28,NA,vacuolar protein sorting 28 homolog (S. cerevisiae)
ENOG411CTS3,ENOG411CTS3,3,3,7,9583830.41796875,20934682.9765625,15259256.697265625,2.1843753555271603,1.1272207852999674,0,7,6.858110759951251,2.77781120429426,2.545534934935114,0.005455522271334082,0.645483872385053,"148231139, Xelaev18006749m.g, Xelaev18031629m.g","GenBank, Xenbase_9.1","Xelaev18006749m.g, eef1e1.L","eukaryotic translation elongation factor 1 epsilon 1 [Xenopus laevis], NA",O43324,EEF1E1,AIMP3 P18,eukaryotic translation elongation factor 1 epsilon 1
ENOG411CWYZ,ENOG411CWYZ,11,11,23,35192714.875,50791967.7109375,42992341.29296875,1.4432523291068633,0.5293235535550933,5,18,2.7146688424807035,1.4407762170166893,2.4328951996535504,0.007489317787892534,0.645483872385053,"148228702, 4630799, Xelaev18044412m.g","GenBank, Xenbase_9.1",xrcc5.L,"X-ray repair complementing defective repair in Chinese hamster cells 5 [Xenopus laevis], human Ku80 autoantigen homologue [Xenopus laevis], NA",P13010,XRCC5,G22P2,X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)
ENOG411CUDQ,ENOG411CUDQ,7,7,20,21440331.5,70516614.40625,45978472.953125,3.2889703410719187,1.7176359984495728,4,16,2.9146970729792816,1.5433459506572371,2.4314003075378663,0.007520293390953743,0.645483872385053,"148234287, Xelaev18026242m.g","GenBank, Xenbase_9.1",bpnt1.L,"3'(2'), 5'-bisphosphate nucleotidase 1 [Xenopus laevis], NA",O95861,BPNT1,NA,"3'(2'), 5'-bisphosphate nucleotidase 1"
